nome;descr;price
CARAMELLE HARIBO;;1.20
PROSCIUTTO CRUDO;120 GR;1.80
PROCIUTTO COTTO;120 GR;1.80
COPPA;120 GR;1.80
SALAME MILANO;120 GR;1.80
MORTADELLA;120 GR;1.80
WUSTEL;;1.40
GRANA PADANO GRATT.;100 GR;1.80
PECORINO GRATT.;100 GR;1.49
RICOTTA BIANCHI;;1.30
RICOTTA SANTA LUCIA;;1.80
SOTTILETTE PERFETTE;;2.00
SOTTILETTE KRAFT CLASSICHE;;3.40
SOTTILETTE KRAFT FILA E FONDI;;3.40
PHILADELPHIA;;2.99
PHILADELPHIA;;1.29
BURRO;250 GR;2.40
PROVOLONE DOLCE;;2.29
FORMAGGIO GRAN MORAVIA;500 GR;4.79
GORGONZOLA DOP;300 GR;2.29
FANTA BOTTIGLIA;1 LT;2.00
COCA COLA BOTTGLIA;1LT;2.00
AMARO DEL BORGO;;4.25
SAMBUCA;;5.90
LIMONCELLO;;6.39
GRAPPA;;5.79
ALOE VERA;;1.50
DERBY ACE;;1.10
DERBY ARANCIA ROSSA;;1.10
DERBY FRUTTI ROSSI;;1.25
DERBY MULT FRUTTI ;;1.10
ESTATHE PESCA O LIMONE ;1 LT;1.99
MERENDA PIC NIC NUTELLA;;0.99
OVETTO KINDER;;1.50
DUPLO ;;0.80
MERENDA NESQUIK CEREALI;;0.90
KINDER CIOCCOLATO;4 BARRETTE;1.80
KINDER BUENO;;
KINDER CEREALI ;;0.80
LIEVITO PANE DEGLI ANGELI PER DOLCI ;;0.60
LIEVITO PANE DEGLI ANGELI PER PIZZA;;0.60
ESTATHE BRICK PESCA O LIMONE;3 PEZZI;1.00
CAMOMILLA;18 FILTRI;1.69
TE' CLASSICO;25 FILTRI;1.30
ZUCCHERO;1KG;0.95
KINDER BRIOSS;X10;2.70
KINDER COLAZIONE PIU CIOCCOLATO;X10;2.90
CONFETTURE CILIEGIA/ALBICOCCA;;1.00
NUTELLA;;2.80
BISCOTTO PLASMON;360 GR;3.99
PAN BAULETTO ROBERTO;400 GR;1.20
PAN DI STELLE BISCOTTI;;2.25
MACINE BISCOTTI MULINO BIANCO;250 GR;1.59
BASTONCINI BALOCCO BISCOTTI;700 GR;1.75
TRIS SUCCHI DERBY PESCA/ PERA / ALBICOCCA;3X200 ML;1.50
UOVA;4;1.00
CERALI CHOCO KRAVE KELLOG'S;;1.80
CEREALI CORN FLAKES KELLOG'S;;2.45
NESQUIK;500 GR;2.79
